Wavelength,Flux,BestFit,SkyFlux
3822.963,5.673,1.276,9.205
3823.842,5.635,1.340,8.966
3824.724,2.869,1.437,8.735
3825.604,-3.088,1.516,8.589
3826.484,0.584,1.478,8.713
3827.366,-1.567,1.305,8.975
3828.247,2.953,1.082,9.594
3829.130,1.168,0.937,10.373
3830.010,-0.995,0.883,11.554
3830.894,4.247,0.810,12.904
3831.775,0.354,0.768,13.912
3832.656,-4.679,0.854,14.145
3833.540,-3.346,1.010,13.435
3834.422,5.489,1.075,12.472
3835.306,2.676,1.163,11.307
3836.189,-1.534,1.336,10.491
3837.073,4.386,1.373,9.499
3837.956,4.544,1.387,8.613
3838.839,-0.392,1.489,8.303
3839.724,1.759,1.551,8.344
3840.608,5.208,1.516,8.378
3841.493,3.201,1.342,7.673
3842.377,9.378,1.310,7.815
3843.263,-1.728,1.229,8.485
3844.147,2.159,1.069,9.059
3845.031,3.434,1.113,8.966
3845.918,3.823,1.042,8.343
3846.803,3.327,0.992,7.645
3847.690,1.050,1.036,7.252
3848.575,0.941,1.056,7.258
3849.463,1.149,1.076,7.748
3850.348,-0.726,1.248,8.848
3851.234,0.351,1.291,9.624
3852.122,-1.889,1.347,9.255
3853.008,-3.481,1.532,7.939
3853.897,1.024,1.634,6.872
3854.783,6.740,1.615,6.437
3855.672,4.147,1.744,6.660
3856.559,-0.734,1.912,7.011
3857.446,-0.841,1.901,7.159
3858.336,-1.103,1.828,6.966
3859.223,5.526,1.818,6.817
3860.114,-1.195,1.839,6.730
3861.001,3.926,1.784,6.761
3861.892,2.870,1.757,6.609
3862.780,4.695,1.794,6.472
3863.669,3.382,1.788,6.720
3864.560,1.974,1.675,7.160
3865.449,0.924,1.586,7.500
3866.340,-1.241,1.682,7.295
3867.230,3.499,1.655,6.634
3868.121,3.655,1.565,5.926
3869.011,-1.394,1.488,5.342
3869.901,-1.067,1.512,5.036
3870.794,1.143,1.602,4.923
3871.684,3.984,1.617,5.145
3872.577,-0.235,1.623,5.667
3873.468,-1.163,1.782,6.377
3874.361,0.556,1.758,6.936
3875.252,-2.116,1.651,6.930
3876.144,1.454,1.612,6.599
3877.038,5.433,1.560,5.874
3877.930,4.294,1.572,5.540
3878.824,1.650,1.589,5.564
3879.716,1.001,1.494,5.750
3880.611,0.189,1.387,5.850
3881.504,-3.233,1.364,5.541
3882.396,0.024,1.400,5.160
3883.292,5.635,1.538,4.873
3884.185,2.243,1.450,4.906
3885.081,1.513,1.433,5.288
3885.975,4.664,1.441,5.494
3886.871,6.587,1.367,5.342
