Wavelength,Flux,BestFit,SkyFlux
3817.684,28.400,37.594,6.128
3818.562,32.535,36.846,5.871
3819.443,32.813,35.883,5.648
3820.322,31.602,36.168,5.423
3821.202,29.346,36.452,5.217
3822.082,27.772,36.688,5.059
3822.963,28.087,35.986,4.912
3823.842,26.988,35.315,4.755
3824.724,28.720,35.319,4.683
3825.604,29.138,34.952,4.640
3826.484,31.130,35.631,4.691
3827.366,31.301,37.256,4.796
3828.247,31.450,36.650,4.952
3829.130,32.446,36.584,5.192
3830.010,32.714,37.957,5.533
3830.894,31.406,35.856,5.978
3831.775,30.907,35.999,6.546
3832.656,32.941,36.748,7.008
3833.540,31.302,37.138,6.962
3834.422,27.167,36.436,6.174
3835.306,31.335,35.191,5.349
3836.189,28.578,35.355,5.007
3837.073,27.284,36.150,5.166
3837.956,30.327,35.896,5.123
3838.839,30.949,37.101,4.594
3839.724,28.277,37.629,3.955
3840.608,28.927,37.057,3.803
3841.493,36.469,39.474,4.438
3842.377,28.613,38.400,5.344
3843.263,28.592,38.714,5.804
3844.147,30.889,37.689,5.636
3845.031,27.750,36.408,5.080
3845.918,28.433,37.265,4.518
3846.803,32.825,38.305,4.193
3847.690,31.394,36.253,4.259
3848.575,28.053,35.145,4.705
3849.463,28.632,35.645,5.221
3850.348,28.299,36.033,5.467
3851.234,32.823,35.762,5.076
3852.122,29.667,36.272,4.259
3853.008,27.927,36.084,3.524
3853.897,32.599,36.981,3.003
3854.783,31.893,36.251,2.982
3855.672,27.849,35.487,3.473
3856.559,32.619,36.647,4.077
3857.446,29.837,37.400,4.190
3858.336,32.447,36.711,3.648
3859.223,33.978,34.431,2.883
3860.114,31.355,35.001,2.478
3861.001,29.639,35.844,2.666
3861.892,27.904,34.502,3.143
3862.780,31.195,34.796,3.572
3863.669,33.484,35.363,3.750
3864.560,31.399,35.139,3.768
3865.449,34.061,34.676,3.747
3866.340,28.342,34.217,3.839
3867.230,31.392,33.947,4.090
3868.121,26.943,34.392,4.218
3869.011,26.531,35.065,4.139
3869.901,31.725,34.643,3.696
3870.794,32.118,34.704,3.082
3871.684,27.539,35.313,2.613
3872.577,29.147,35.130,2.444
3873.468,35.570,33.731,2.764
3874.361,31.439,33.638,3.254
3875.252,31.968,34.109,3.714
3876.144,29.804,34.548,4.046
3877.038,30.632,35.228,4.446
3877.930,28.723,35.204,4.461
3878.824,28.990,33.257,4.480
3879.716,27.672,34.798,4.384
3880.611,26.152,34.893,4.153
3881.504,28.280,34.880,3.878
3882.396,28.335,34.435,3.668
3883.292,31.298,33.663,3.513
3884.185,29.147,34.915,3.490
3885.081,28.416,34.577,3.453
3885.975,29.189,32.705,3.390
3886.871,30.207,32.433,3.321
3887.765,29.925,33.030,3.233
3888.659,28.240,32.899,3.223
3889.556,28.403,32.871,3.309
3890.451,30.523,32.422,3.441
3891.348,28.996,32.820,3.529
3892.243,33.204,33.185,3.591
3893.141,29.789,32.739,3.690
3894.036,28.721,32.110,3.761
3894.934,29.058,32.524,3.730
3895.830,29.035,32.326,3.784
3896.726,29.336,31.967,4.025
3897.625,27.775,32.556,4.243
3898.521,26.182,32.085,4.375
3899.421,29.352,31.273,4.409
3900.318,27.579,33.877,4.492
3901.217,24.463,31.214,4.520
3902.115,29.157,32.063,4.612
3903.012,27.741,31.828,4.788
3903.912,25.122,31.721,4.988
3904.810,26.869,33.342,5.302
3905.711,27.908,32.089,5.708
3906.609,26.010,31.642,6.802
3907.510,26.381,31.652,8.146
3908.409,29.920,32.836,9.133
3909.308,29.461,32.863,8.922
3910.210,24.225,31.399,8.970
3911.109,25.294,32.243,8.448
3912.011,27.869,32.039,8.929
3912.911,27.305,31.962,9.555
3913.813,25.218,31.933,8.836
3914.714,28.441,32.092,8.176
3915.614,32.599,32.182,7.561
3916.517,27.409,31.374,6.610
3917.418,30.152,31.228,5.736
3918.322,25.226,32.640,5.400
3919.223,27.042,31.474,5.368
3920.127,29.016,30.289,5.171
3921.029,27.820,31.750,4.669
3921.931,26.879,32.011,4.273
3922.835,28.464,30.646,4.183
3923.737,31.676,31.675,4.178
3924.642,33.671,31.810,4.129
3925.545,30.281,30.657,3.961
3926.450,21.790,30.595,3.725
3927.354,28.436,31.884,3.372
3928.257,27.184,29.964,3.232
3929.163,29.348,30.103,3.092
3930.067,25.526,30.670,3.030
3930.973,25.098,30.646,3.011
3931.877,28.934,30.578,2.952
3932.784,28.634,30.653,2.798
3933.689,26.003,30.425,2.629
3934.594,23.111,29.487,2.518
3935.501,28.087,29.545,2.394
3936.406,25.941,29.844,2.318
3937.314,26.125,29.698,2.350
3938.220,28.413,30.389,2.630
3939.128,28.608,30.144,3.243
3940.034,25.872,30.024,4.077
3940.941,26.766,29.496,4.871
3941.849,29.537,29.830,5.412
3942.756,25.344,31.480,5.595
3943.665,31.131,32.033,5.505
3944.573,25.587,31.278,5.347
3945.482,27.822,29.701,5.326
3946.390,28.961,30.322,5.603
3947.298,28.638,31.636,6.245
3948.208,27.594,31.969,6.745
3949.116,25.437,32.581,6.646
3950.027,24.540,30.289,6.104
3950.936,25.786,31.587,5.604
3951.847,26.311,32.293,5.323
3952.756,28.919,31.336,5.112
3953.665,25.541,30.766,4.704
3954.577,25.472,31.003,4.319
3955.487,25.856,30.725,4.454
3956.399,24.530,31.026,4.870
3957.309,29.612,31.445,4.894
3958.221,33.881,31.209,4.515
3959.132,29.999,30.638,4.082
3960.045,27.875,30.926,3.883
3960.956,26.260,31.024,3.931
3961.867,28.146,30.699,4.112
3962.781,28.154,30.972,4.085
3963.692,25.373,32.105,3.888
3964.606,28.435,32.658,3.683
3965.519,28.114,31.114,3.424
3966.433,25.642,30.808,3.011
3967.345,26.971,30.136,2.393
3968.258,29.222,30.248,1.768
3969.173,27.657,30.749,1.348
3970.086,25.308,30.457,1.407
3971.002,29.723,29.522,1.926
3971.915,28.776,29.053,2.620
3972.831,30.262,30.284,3.080
3973.745,30.149,30.244,3.421
3974.659,27.209,29.384,3.944
3975.576,27.556,29.652,4.574
3976.490,29.565,30.411,5.013
3977.407,29.715,29.545,5.226
3978.323,32.773,30.890,5.547
3979.240,30.140,31.640,5.877
3980.155,30.531,30.717,5.780
3981.071,27.944,29.836,5.470
3981.989,28.397,30.595,5.405
3982.905,28.961,31.225,5.572
3983.823,28.465,30.305,5.641
3984.740,27.776,31.055,5.377
3985.659,30.730,31.385,4.895
3986.576,34.741,30.036,4.773
3987.493,29.168,31.135,5.143
3988.412,28.155,31.599,5.457
3989.330,30.798,31.463,5.330
3990.250,32.008,30.998,4.787
3991.168,29.426,30.637,4.754
3992.088,25.693,30.636,5.351
3993.006,26.645,30.537,5.916
3993.925,26.679,29.326,6.019
3994.846,25.180,28.413,5.891
3995.765,27.929,29.035,5.533
3996.686,25.733,30.060,5.165
3997.606,28.199,30.067,5.348
3998.528,27.231,29.583,6.086
3999.448,25.488,29.799,6.123
4000.367,28.284,29.434,5.099
4001.290,32.238,29.820,4.395
4002.210,29.055,30.604,4.899
4003.133,27.007,31.028,5.954
4004.054,30.214,31.045,6.140
4004.978,29.005,28.315,5.372
4005.899,32.150,29.096,4.984
4006.821,29.674,29.320,5.257
4007.745,26.825,28.389,5.857
4008.667,30.291,28.636,6.527
4009.591,28.393,30.169,7.194
4010.513,25.558,31.036,7.539
