Wavelength,Flux,BestFit,SkyFlux
3804.522,12.720,12.024,16.254
3805.397,10.972,11.825,15.998
3806.273,12.595,12.180,16.128
3807.150,12.800,13.064,16.285
3808.026,14.323,13.409,16.151
3808.904,15.374,12.937,15.952
3809.781,11.887,12.737,15.825
3810.659,12.944,13.747,15.601
3811.536,14.883,13.170,15.398
3812.413,12.745,13.020,15.745
3813.292,7.446,13.008,15.377
3814.169,11.303,12.733,15.096
3815.048,11.850,12.546,14.332
3815.926,7.057,12.081,13.927
3816.806,9.692,12.508,13.615
3817.684,12.825,12.635,13.338
3818.562,11.535,12.096,13.050
3819.443,14.762,11.656,12.878
3820.322,9.385,11.712,12.579
3821.202,5.986,10.907,12.401
3822.082,4.721,11.152,12.216
3822.963,10.892,10.343,12.061
3823.842,11.530,9.652,11.634
3824.724,3.945,9.915,10.845
3825.604,9.268,10.257,9.859
3826.484,11.273,10.366,9.421
3827.366,4.345,9.836,9.742
3828.247,14.834,9.946,10.761
3829.130,11.757,10.565,12.344
3830.010,17.919,11.256,13.887
3830.894,15.975,11.849,14.498
3831.775,10.927,12.009,14.051
3832.656,12.832,11.977,13.112
3833.540,12.079,11.959,12.215
3834.422,13.887,12.259,11.852
3835.306,17.019,12.756,11.936
3836.189,13.446,13.127,12.186
3837.073,7.713,13.593,12.318
3837.956,12.218,13.755,11.243
3838.839,25.570,13.620,10.223
3839.724,19.224,13.043,9.601
3840.608,8.815,12.530,9.717
3841.493,15.445,12.641,10.944
3842.377,15.414,12.472,12.759
3843.263,16.225,12.575,14.221
3844.147,12.540,12.678,14.798
3845.031,12.451,12.547,14.906
3845.918,18.285,12.313,15.055
3846.803,12.666,12.266,14.813
3847.690,11.850,12.256,14.350
3848.575,13.502,11.567,13.720
3849.463,11.274,11.783,13.258
3850.348,13.241,12.223,13.183
3851.234,15.747,12.194,13.424
3852.122,15.798,11.931,13.988
3853.008,11.375,11.448,14.321
3853.897,13.883,11.616,14.203
3854.783,8.987,11.238,13.440
3855.672,8.443,10.713,12.690
3856.559,11.985,10.734,12.056
3857.446,10.795,10.998,11.435
3858.336,8.039,10.481,10.614
