Wavelength,Flux,BestFit,SkyFlux
3806.273,9.865,13.502,5.859
3807.150,17.938,14.372,5.704
3808.026,11.149,13.868,5.703
3808.904,13.292,14.730,5.681
3809.781,20.180,15.303,5.684
3810.659,20.632,16.116,5.695
3811.536,20.508,17.736,5.737
3812.413,23.160,18.327,5.763
3813.292,20.139,17.892,5.788
3814.169,17.334,18.761,5.892
3815.048,17.363,19.142,5.963
3815.926,16.564,19.090,5.878
3816.806,22.734,19.412,5.739
3817.684,21.059,19.643,5.644
3818.562,22.373,19.743,5.417
3819.443,22.225,19.482,5.168
3820.322,21.989,18.912,5.014
3821.202,24.263,18.782,5.108
3822.082,22.658,19.145,5.818
3822.963,25.547,18.734,6.699
3823.842,9.301,17.471,6.992
3824.724,18.761,18.225,5.882
3825.604,19.700,18.463,3.757
3826.484,17.268,17.805,2.452
3827.366,25.770,17.577,3.109
3828.247,21.405,17.979,5.166
3829.130,12.958,17.766,7.099
3830.010,18.538,18.369,7.881
3830.894,20.750,18.648,7.483
3831.775,30.159,18.653,7.096
3832.656,21.602,18.771,7.090
3833.540,15.912,18.482,6.794
3834.422,23.810,18.097,6.066
3835.306,24.892,17.432,5.326
3836.189,20.569,17.527,5.462
3837.073,15.358,17.422,6.291
3837.956,15.296,16.362,6.778
3838.839,21.219,15.536,6.328
3839.724,19.109,14.976,5.411
3840.608,10.674,15.067,5.145
3841.493,20.014,15.946,5.691
3842.377,14.373,16.626,5.875
3843.263,20.758,16.391,5.333
3844.147,20.682,15.962,5.080
3845.031,16.782,16.171,5.429
3845.918,17.728,15.364,6.039
3846.803,16.200,14.975,6.122
3847.690,12.827,15.250,5.651
3848.575,20.786,15.698,5.324
3849.463,22.615,16.448,5.516
3850.348,25.512,17.404,5.932
3851.234,23.221,18.626,6.083
3852.122,16.761,18.735,5.950
3853.008,18.349,18.224,5.826
3853.897,21.082,17.978,5.677
3854.783,24.046,17.922,5.443
3855.672,25.795,19.056,5.083
3856.559,22.020,19.471,4.401
3857.446,25.034,19.492,3.513
3858.336,27.453,19.570,2.622
3859.223,22.630,19.890,2.046
3860.114,17.468,20.289,1.862
3861.001,19.877,19.562,2.227
3861.892,21.706,19.641,2.946
3862.780,18.299,19.325,3.801
3863.669,18.828,17.999,4.502
3864.560,21.265,16.430,4.848
3865.449,17.899,15.535,4.871
3866.340,17.790,14.374,5.044
3867.230,15.454,13.946,4.940
3868.121,12.687,13.658,4.737
3869.011,17.918,13.875,4.369
