Wavelength,Flux,BestFit,SkyFlux
3801.019,25.731,25.287,6.055
3801.893,26.103,26.503,6.127
3802.770,38.053,27.125,6.412
3803.645,41.916,28.017,6.251
3804.522,46.397,29.170,6.004
3805.397,48.255,30.062,5.860
3806.273,45.275,30.164,5.785
3807.150,48.589,29.344,5.664
3808.026,42.773,28.242,5.641
3808.904,31.410,27.609,5.621
3809.781,22.814,25.789,5.482
3810.659,14.443,23.989,5.535
3811.536,19.234,22.945,5.486
3812.413,7.115,21.952,5.445
3813.292,8.008,21.723,5.502
3814.169,22.482,21.773,5.472
3815.048,18.187,22.305,5.414
3815.926,18.334,23.179,5.347
3816.806,30.220,24.240,5.323
3817.684,21.617,25.313,5.365
3818.562,28.388,25.804,5.230
3819.443,34.478,26.239,5.175
3820.322,28.231,25.808,5.155
3821.202,25.984,25.063,5.109
3822.082,22.071,24.573,4.988
3822.963,15.971,24.092,4.916
3823.842,25.710,23.355,4.913
3824.724,24.485,22.980,4.981
3825.604,17.270,22.602,5.003
3826.484,10.015,22.445,4.768
3827.366,21.684,22.354,4.686
3828.247,18.491,22.089,5.140
3829.130,19.730,22.952,6.177
3830.010,27.266,24.282,7.545
3830.894,30.627,25.523,8.480
3831.775,35.196,26.311,8.657
3832.656,31.014,26.687,8.393
3833.540,33.475,26.986,8.125
3834.422,31.095,27.224,7.814
3835.306,33.003,26.793,7.231
3836.189,24.275,26.021,6.500
3837.073,21.696,25.667,6.109
3837.956,26.947,25.749,6.118
3838.839,24.841,25.682,6.182
3839.724,19.294,25.672,6.105
3840.608,28.000,25.734,6.217
3841.493,36.218,25.914,6.483
3842.377,37.200,25.996,6.649
3843.263,20.340,25.789,6.424
3844.147,23.520,25.520,6.108
3845.031,28.386,25.786,6.019
3845.918,29.749,25.432,6.231
3846.803,29.854,25.497,6.480
3847.690,28.790,25.283,6.425
3848.575,28.964,24.878,5.982
3849.463,26.058,25.570,5.648
3850.348,24.745,26.560,5.592
3851.234,35.518,26.661,5.539
3852.122,31.118,26.831,5.352
3853.008,36.522,27.380,5.109
3853.897,34.395,28.072,5.113
3854.783,31.543,28.585,5.434
3855.672,35.846,28.717,5.793
3856.559,36.918,28.942,5.838
3857.446,32.525,29.388,5.314
3858.336,30.183,29.829,4.291
3859.223,40.187,30.033,3.547
3860.114,41.860,30.107,3.763
3861.001,37.016,30.501,4.665
3861.892,30.055,30.382,5.564
3862.780,28.135,29.952,5.909
3863.669,33.364,29.466,5.642
3864.560,37.237,28.981,5.109
3865.449,33.758,28.408,4.858
3866.340,31.097,27.701,4.850
3867.230,25.037,27.294,4.853
3868.121,24.021,26.712,4.890
3869.011,27.289,26.349,4.653
3869.901,28.108,26.463,4.187
3870.794,26.424,26.460,3.602
3871.684,31.877,25.637,3.066
3872.577,33.599,25.398,2.757
3873.468,24.993,25.071,3.044
3874.361,26.781,24.413,4.099
3875.252,25.150,23.930,5.496
3876.144,19.080,23.883,6.528
3877.038,21.243,23.193,6.692
3877.930,20.548,22.954,5.989
3878.824,24.467,23.509,4.970
3879.716,29.906,24.573,4.140
3880.611,29.401,25.629,3.810
3881.504,29.279,26.384,3.923
3882.396,36.144,27.190,4.215
3883.292,36.676,27.704,4.346
3884.185,36.745,28.276,4.428
3885.081,35.109,28.222,4.582
3885.975,35.453,27.650,4.679
3886.871,25.903,27.655,5.031
3887.765,28.550,27.974,6.208
3888.659,32.064,28.239,7.960
3889.556,29.520,28.455,8.759
3890.451,32.822,28.411,8.661
3891.348,31.993,28.004,7.324
3892.243,28.626,27.458,5.563
3893.141,31.994,27.028,4.547
3894.036,28.969,26.246,4.605
3894.934,22.413,25.588,5.096
3895.830,25.416,25.526,5.566
3896.726,29.607,25.565,5.716
3897.625,28.159,24.953,5.607
3898.521,24.752,24.670,5.629
3899.421,23.523,24.319,5.569
3900.318,23.902,24.134,5.858
3901.217,21.292,24.242,6.566
3902.115,17.470,24.223,7.076
3903.012,27.454,23.730,6.861
3903.912,21.375,23.636,6.661
3904.810,18.313,23.183,6.784
3905.711,18.384,22.745,7.354
3906.609,16.672,22.359,7.933
3907.510,18.766,22.151,8.395
3908.409,21.550,22.195,8.942
3909.308,18.709,21.671,9.751
3910.210,20.973,21.787,9.717
3911.109,18.460,21.614,9.077
3912.011,23.797,20.825,9.226
3912.911,21.386,20.076,10.036
3913.813,19.336,20.068,10.762
3914.714,16.551,20.126,10.876
3915.614,14.461,20.036,10.148
3916.517,18.991,20.112,8.652
3917.418,20.087,20.233,7.417
3918.322,16.000,20.311,6.903
3919.223,13.253,20.606,6.735
3920.127,14.074,21.350,6.563
3921.029,16.192,22.118,6.173
3921.931,27.362,23.056,5.597
3922.835,29.232,24.053,5.167
3923.737,25.658,24.758,4.947
3924.642,28.128,25.037,4.960
3925.545,29.510,25.419,4.980
3926.450,29.474,25.587,4.745
3927.354,33.060,26.065,4.494
3928.257,32.557,26.339,4.403
3929.163,29.292,26.175,4.298
3930.067,28.710,25.969,4.076
3930.973,24.457,25.461,3.614
3931.877,28.399,25.685,3.194
3932.784,30.666,26.087,3.218
3933.689,22.137,26.056,3.636
3934.594,23.620,25.639,4.041
