Wavelength,Flux,BestFit,SkyFlux
3809.781,2.459,8.227,9.095
3810.659,5.954,8.575,9.821
3811.536,19.600,8.700,10.578
3812.413,8.191,8.893,10.888
3813.292,10.151,9.146,11.237
3814.169,21.197,9.324,10.993
3815.048,10.662,9.353,10.612
3815.926,7.185,8.932,10.220
3816.806,5.741,8.361,9.640
3817.684,10.588,8.098,9.082
3818.562,12.197,7.803,8.751
3819.443,7.542,7.587,8.198
3820.322,4.812,7.718,7.719
3821.202,3.582,8.043,7.326
3822.082,4.401,8.305,6.922
3822.963,10.429,8.409,6.644
3823.842,12.020,8.574,6.440
3824.724,14.774,9.117,6.353
3825.604,10.243,9.077,6.462
3826.484,5.698,9.072,6.712
3827.366,10.003,9.322,7.143
3828.247,15.570,9.435,7.834
3829.130,9.307,9.434,8.776
3830.010,4.792,9.097,9.949
3830.894,21.598,8.858,11.240
3831.775,6.895,8.576,12.359
3832.656,8.493,8.395,12.622
3833.540,10.158,8.478,12.003
3834.422,6.717,8.320,10.914
3835.306,7.122,8.326,9.865
3836.189,9.054,8.396,8.984
3837.073,10.948,8.289,8.406
3837.956,9.030,8.376,8.122
3838.839,13.101,8.875,8.025
3839.724,10.921,8.864,7.934
3840.608,14.889,8.815,7.799
3841.493,10.505,9.289,7.528
3842.377,9.032,9.505,7.355
3843.263,7.349,9.435,7.476
3844.147,5.361,9.738,7.947
3845.031,8.295,10.213,8.571
3845.918,7.457,10.139,9.169
3846.803,13.041,9.953,9.279
3847.690,11.244,9.939,8.773
3848.575,13.776,9.936,7.962
3849.463,6.959,9.795,7.433
3850.348,12.266,9.825,7.223
3851.234,12.009,9.769,7.356
3852.122,5.214,9.731,7.479
3853.008,12.879,9.491,7.415
3853.897,10.709,9.298,7.224
3854.783,14.816,9.461,7.210
3855.672,9.785,9.444,7.127
3856.559,5.757,9.267,6.911
3857.446,9.427,9.047,6.545
3858.336,8.650,9.206,6.082
3859.223,7.292,9.466,5.611
3860.114,7.165,9.331,5.377
3861.001,7.862,9.314,5.610
3861.892,12.769,9.784,6.221
3862.780,8.252,9.677,6.899
3863.669,12.020,9.386,7.181
3864.560,15.670,9.280,6.870
3865.449,12.859,9.244,6.286
3866.340,12.037,9.266,6.011
3867.230,11.164,9.397,6.265
3868.121,6.378,9.158,6.643
3869.011,8.248,8.911,6.740
3869.901,14.134,8.888,6.237
3870.794,6.193,9.039,5.087
3871.684,12.562,9.338,4.130
3872.577,14.039,8.984,3.881
3873.468,10.703,9.073,4.280
3874.361,8.689,9.047,5.180
3875.252,7.134,8.761,6.192
3876.144,6.948,8.749,6.977
3877.038,8.875,8.915,7.335
3877.930,9.110,8.927,7.191
3878.824,5.065,8.701,6.648
3879.716,9.419,8.941,6.045
3880.611,10.995,9.457,5.369
3881.504,10.683,9.568,4.999
3882.396,12.183,9.606,4.896
3883.292,12.569,9.661,5.162
3884.185,13.202,9.654,5.287
3885.081,16.557,9.525,5.206
3885.975,15.533,9.486,5.160
3886.871,9.366,9.723,5.093
3887.765,13.058,9.910,5.239
3888.659,11.735,9.845,5.529
3889.556,13.768,9.900,5.953
3890.451,5.125,10.105,6.138
3891.348,7.824,10.166,6.041
3892.243,15.516,9.902,5.930
3893.141,12.040,9.623,5.862
3894.036,5.484,9.357,6.128
3894.934,8.918,9.048,6.604
3895.830,11.422,8.803,7.046
3896.726,4.046,8.589,7.047
3897.625,10.800,8.374,6.780
3898.521,7.422,8.450,6.483
3899.421,6.621,8.802,6.344
3900.318,5.344,8.981,6.452
3901.217,6.254,9.103,6.742
3902.115,8.743,9.176,6.989
3903.012,8.819,9.319,7.092
3903.912,8.363,10.086,7.654
3904.810,10.299,10.167,8.560
3905.711,11.872,10.356,9.778
3906.609,16.403,10.256,11.133
3907.510,12.529,10.071,11.987
3908.409,10.255,10.256,12.568
3909.308,9.763,9.885,13.260
3910.210,10.784,9.348,13.260
3911.109,9.367,9.097,12.607
3912.011,6.396,8.839,12.180
3912.911,7.041,8.581,11.396
3913.813,6.647,8.765,10.978
3914.714,9.245,9.868,11.310
3915.614,9.900,12.989,11.109
3916.517,17.023,18.445,9.790
3917.418,23.846,23.620,8.592
3918.322,27.848,26.724,8.647
3919.223,29.691,28.511,9.021
3920.127,27.370,30.771,8.819
3921.029,22.133,30.013,8.071
3921.931,19.672,24.450,7.441
3922.835,13.178,17.214,7.162
3923.737,10.215,11.935,7.163
3924.642,7.174,9.763,7.087
3925.545,3.449,8.657,6.922
3926.450,7.451,8.032,6.612
3927.354,8.362,7.701,6.200
3928.257,5.290,7.783,5.882
3929.163,6.915,8.114,5.878
3930.067,6.861,8.427,5.868
3930.973,6.784,8.914,5.807
3931.877,7.865,9.550,5.521
3932.784,12.805,9.961,5.293
3933.689,10.497,10.093,5.319
3934.594,8.642,10.042,5.481
3935.501,6.879,9.920,5.448
3936.406,6.821,9.782,5.329
3937.314,9.307,9.357,5.402
3938.220,10.345,8.911,5.983
3939.128,10.277,8.544,6.899
3940.034,11.517,8.284,7.812
3940.941,2.880,8.141,8.332
3941.849,5.840,8.038,8.643
3942.756,8.520,7.909,9.166
3943.665,7.268,8.156,9.440
3944.573,8.365,8.655,9.015
3945.482,11.743,9.260,8.460
3946.390,12.419,9.836,8.404
3947.298,11.493,10.084,8.727
3948.208,8.646,10.467,8.687
3949.116,12.396,10.654,8.113
3950.027,10.836,10.532,7.873
3950.936,8.842,10.299,8.255
3951.847,8.748,10.120,8.366
3952.756,7.843,9.851,7.926
3953.665,10.994,9.940,7.818
3954.577,11.887,10.106,8.049
3955.487,6.270,10.081,7.857
3956.399,8.199,10.039,7.424
3957.309,11.488,10.145,7.518
3958.221,8.842,9.941,7.703
3959.132,9.945,9.759,7.802
3960.045,9.320,9.848,7.839
3960.956,6.706,9.561,7.879
3961.867,10.218,9.204,7.736
3962.781,11.429,9.415,7.070
3963.692,10.211,9.302,6.172
3964.606,10.525,9.308,5.508
3965.519,6.103,9.649,5.156
3966.433,6.075,9.855,4.977
3967.345,12.147,9.907,4.829
3968.258,8.460,10.162,4.371
3969.173,8.832,10.485,4.003
3970.086,5.368,10.898,3.877
3971.002,11.505,11.159,3.973
3971.915,14.005,11.215,4.328
3972.831,11.078,11.323,4.967
3973.745,14.493,11.727,5.788
3974.659,14.290,12.145,6.551
3975.576,17.128,12.135,7.131
3976.490,12.419,12.074,7.540
3977.407,8.023,12.294,7.915
3978.323,11.631,12.375,8.299
3979.240,14.137,11.952,8.412
3980.155,11.613,11.868,8.202
3981.071,9.233,11.568,8.201
3981.989,9.497,11.307,8.609
3982.905,8.050,10.970,8.714
3983.823,12.123,10.747,8.072
3984.740,16.249,10.874,7.454
3985.659,9.178,10.784,7.322
3986.576,17.174,10.463,7.494
3987.493,11.043,10.276,7.950
3988.412,11.909,9.974,8.400
3989.330,11.560,9.674,8.742
3990.250,9.254,9.532,8.621
3991.168,8.612,8.907,7.665
3992.088,4.255,8.850,6.824
3993.006,8.306,8.853,7.272
3993.925,7.632,8.836,8.084
3994.846,5.524,8.811,8.162
3995.765,9.306,8.858,7.680
3996.686,10.948,9.381,7.323
3997.606,8.793,9.954,7.742
3998.528,12.401,10.475,8.315
3999.448,13.873,10.817,8.217
4000.367,10.379,11.012,8.227
4001.290,12.534,11.125,8.438
4002.210,7.681,11.041,8.648
4003.133,14.782,11.236,8.756
4004.054,11.535,11.423,8.443
4004.978,15.333,11.660,7.833
4005.899,13.520,11.925,7.356
4006.821,13.370,11.998,7.743
4007.745,11.338,11.778,9.011
4008.667,11.125,11.335,10.472
4009.591,15.002,11.130,10.685
4010.513,10.574,10.931,9.947
4011.438,9.779,10.671,9.843
4012.361,10.267,10.599,10.380
4013.284,7.696,10.676,10.655
4014.209,13.854,10.541,10.673
4015.133,13.675,10.357,10.560
4016.059,10.083,10.237,9.972
4016.983,9.308,10.033,9.158
4017.909,8.817,9.777,8.713
4018.833,8.142,10.054,9.318
4019.758,12.027,10.081,10.402
4020.685,9.382,9.908,11.073
4021.610,9.669,9.639,11.252
4022.537,10.535,9.435,11.157
4023.462,8.496,9.323,10.968
4024.390,8.156,8.988,10.727
4025.316,8.861,8.867,10.572
4026.242,11.406,8.857,10.079
4027.170,12.066,8.739,9.133
4028.097,7.351,8.543,8.801
4029.026,7.020,8.251,9.331
4029.953,3.101,7.536,9.517
4030.882,8.720,7.553,9.009
4031.809,5.959,8.022,8.241
4032.739,8.006,8.208,7.791
4033.667,7.647,7.966,7.991
4034.595,2.675,7.674,8.557
4035.525,4.844,7.544,8.756
4036.453,9.660,7.661,8.767
4037.384,9.389,8.042,9.378
4038.313,9.035,8.526,10.015
4039.244,8.626,8.986,9.714
4040.174,8.742,9.498,9.265
4041.103,10.288,10.215,9.831
4042.035,11.407,10.459,10.817
4042.965,10.094,10.432,11.750
4043.897,9.684,10.620,12.038
4044.827,13.986,10.882,12.594
4045.760,15.872,10.884,15.761
4046.691,13.560,11.075,23.741
4047.622,17.821,10.982,30.998
4048.555,12.271,10.828,29.145
4049.486,8.217,10.860,20.116
4050.420,7.691,11.151,13.388
4051.352,16.184,11.398,12.340
4052.286,12.249,11.013,12.017
4053.219,10.938,10.904,9.855
4054.151,11.709,10.926,9.844
4055.086,10.376,10.810,11.069
4056.019,12.734,10.591,10.690
4056.954,13.780,10.451,9.095
4057.887,8.784,10.373,8.417
4058.823,9.805,10.455,9.024
4059.757,11.901,10.431,9.573
4060.691,15.758,10.678,10.068
4061.627,14.876,11.111,10.288
4062.561,10.220,11.281,10.130
4063.498,11.014,11.415,9.983
4064.433,12.196,11.463,10.346
4065.370,12.969,11.663,10.967
4066.305,18.755,12.207,11.917
4067.241,14.468,12.724,11.562
4068.179,14.081,12.652,11.015
4069.115,13.929,12.159,11.340
4070.053,15.972,11.484,10.972
4070.989,12.659,10.905,10.327
4071.928,10.516,10.442,9.682
4072.865,11.854,10.296,9.115
4073.802,9.024,10.631,8.505
4074.741,8.271,10.964,8.546
4075.679,17.718,11.003,9.322
4076.618,11.882,10.836,10.889
4077.556,12.510,10.514,12.106
4078.497,10.019,10.269,12.558
4079.435,11.038,10.271,12.935
4080.373,10.476,10.167,12.783
4081.314,11.559,10.140,12.175
4082.253,9.657,9.973,11.938
4083.194,9.131,9.840,11.265
4084.134,16.166,9.747,10.505
4085.076,11.445,9.468,10.362
4086.015,6.904,9.110,10.774
4086.955,7.332,9.312,11.114
4087.898,8.919,10.058,11.010
4088.838,8.698,10.571,10.187
4089.781,9.683,10.539,9.413
4090.722,9.135,10.252,9.222
4091.665,6.983,9.938,8.950
4092.606,8.960,10.083,8.991
4093.548,12.260,10.337,9.286
4094.492,10.610,10.479,9.349
4095.434,11.712,10.518,8.788
4096.378,11.806,10.608,8.136
4097.321,11.875,10.896,8.012
4098.266,8.036,11.085,8.202
4099.208,12.847,11.223,8.541
4100.151,13.211,11.247,8.663
4101.097,10.256,11.347,8.395
4102.040,11.770,11.673,7.781
4102.986,11.751,11.710,7.038
4103.930,11.359,11.705,6.742
4104.876,13.184,11.366,7.270
4105.821,8.269,11.263,7.397
4106.768,13.436,11.472,7.431
4107.712,11.015,11.544,7.998
4108.657,8.405,11.709,8.785
4109.604,10.016,12.138,9.303
4110.550,10.557,12.482,9.025
4111.498,10.755,12.520,8.160
4112.444,12.774,12.481,7.621
4113.392,14.388,12.648,7.800
4114.338,11.434,12.668,8.091
4115.285,12.865,12.559,8.173
4116.234,13.998,12.598,8.675
4117.181,13.750,12.555,9.046
4118.130,11.056,12.410,8.803
4119.078,10.314,12.276,8.334
4120.027,13.900,11.831,7.960
4120.975,14.209,11.693,7.850
4121.923,8.404,11.619,8.105
4122.874,8.920,11.412,8.710
4123.822,10.937,11.317,9.211
4124.773,13.391,11.462,9.274
4125.722,13.268,11.202,8.962
4126.673,11.160,11.303,8.877
4127.623,12.888,10.851,8.766
4128.572,10.864,10.446,8.902
4129.524,8.203,10.256,9.095
4130.475,9.532,9.707,9.058
4131.427,7.578,9.062,8.651
4132.377,6.474,8.622,8.599
4133.330,8.736,7.900,8.897
4134.281,6.459,7.174,9.299
4135.232,4.414,6.739,9.351
4136.186,4.270,6.608,9.548
4137.137,5.648,6.813,10.279
4138.091,4.458,7.175,10.686
4139.043,4.356,7.681,10.073
4139.998,6.963,8.368,9.572
4140.950,9.354,9.052,9.915
4141.903,9.073,9.491,10.132
4142.858,9.260,9.849,8.860
4143.811,9.928,10.334,7.810
4144.767,10.054,10.410,7.665
4145.720,8.634,10.445,7.923
4146.676,9.962,10.671,8.229
4147.630,9.846,10.861,8.567
4148.584,10.317,11.012,8.518
4149.541,11.701,11.447,7.965
4150.495,13.746,11.551,7.504
4151.453,13.451,11.558,7.805
4152.407,10.294,11.773,8.404
4153.365,9.606,12.080,8.577
4154.320,12.696,12.158,8.857
4155.276,15.484,12.051,9.546
4156.234,10.060,12.141,10.416
4157.190,11.290,12.090,11.006
4158.149,12.490,11.913,10.756
4159.105,12.789,11.964,9.803
4160.065,13.600,11.899,9.426
4161.022,10.576,11.581,9.542
4161.979,11.285,11.426,9.764
4162.939,16.011,11.352,9.615
4163.896,14.207,11.059,10.253
4164.856,12.082,10.464,11.623
4165.815,10.664,9.903,12.589
4166.775,10.821,9.363,12.450
4167.734,8.592,8.916,11.764
4168.693,10.465,8.391,11.555
4169.654,5.817,7.793,11.904
4170.613,7.562,7.280,11.505
4171.575,8.315,6.825,11.497
4172.535,5.324,6.870,11.598
4173.497,9.406,7.465,10.643
4174.457,9.114,7.981,9.759
4175.417,6.983,8.041,9.973
4176.380,8.762,7.912,10.337
4177.341,5.470,8.129,10.397
4178.304,6.825,8.482,9.625
4179.265,7.712,9.094,9.515
4180.229,9.252,9.767,9.884
4181.191,11.434,10.336,10.014
4182.155,11.957,10.852,9.768
4183.117,10.622,11.414,9.433
4184.080,10.864,11.913,8.951
4185.044,12.442,12.142,8.365
4186.007,14.273,12.314,8.466
4186.972,12.924,12.454,8.637
4187.936,12.346,12.420,8.152
4188.901,13.422,12.487,7.700
4189.865,13.712,12.761,7.869
4190.829,14.340,13.015,8.284
4191.795,14.854,13.026,8.496
4192.759,14.202,13.078,8.574
4193.726,13.457,13.492,8.871
4194.691,13.464,13.619,8.607
4195.658,13.696,13.422,8.159
4196.624,14.116,13.610,8.169
4197.589,14.247,13.757,8.054
4198.557,12.789,13.711,7.544
4199.523,14.243,13.758,7.622
4200.491,15.618,13.550,8.006
4201.458,14.882,13.409,7.970
4202.426,14.099,13.568,7.948
4203.393,15.035,13.614,7.816
4204.360,16.484,13.592,7.398
4205.330,14.830,13.895,7.567
4206.297,13.344,14.129,8.050
4207.267,17.031,14.207,8.239
4208.235,17.126,14.263,8.881
4209.205,14.046,14.146,9.394
4210.174,9.386,13.892,9.004
4211.142,12.599,13.660,8.463
4212.113,13.434,13.331,8.360
4213.082,10.480,13.577,8.558
4214.054,13.393,13.830,8.234
4215.023,15.717,13.957,8.127
4215.995,14.178,14.047,8.277
4216.965,15.901,14.165,8.043
4217.935,18.353,14.382,7.843
4218.908,13.759,14.482,7.661
4219.878,14.885,14.484,7.372
4220.852,16.242,14.503,7.408
4221.822,14.829,14.595,7.600
4222.796,14.377,14.697,7.798
4223.768,14.593,14.658,7.810
4224.739,13.766,14.420,7.558
4225.713,13.541,14.519,7.221
4226.686,14.406,14.608,6.993
4227.660,14.655,14.574,6.873
4228.633,14.778,14.630,6.939
4229.608,14.662,14.415,7.300
4230.581,13.744,14.295,7.863
4231.554,14.500,14.304,8.263
4232.530,17.408,14.384,8.240
4233.503,14.088,14.522,8.114
