Wavelength,Flux,BestFit,SkyFlux
3976.490,9.994,10.643,6.416
3977.407,11.697,11.192,6.614
3978.323,12.583,10.465,6.767
3979.240,7.786,9.972,6.817
3980.155,13.130,10.943,6.764
3981.071,13.140,10.008,6.847
3981.989,13.525,9.555,6.910
3982.905,11.943,10.503,6.886
3983.823,10.840,11.422,6.896
3984.740,12.681,10.952,6.796
3985.659,13.414,10.692,6.288
3986.576,11.715,10.248,5.699
3987.493,11.734,9.438,5.531
3988.412,12.478,9.505,6.138
3989.330,11.154,9.855,7.047
3990.250,9.015,8.364,7.125
3991.168,11.110,9.379,6.616
3992.088,11.068,10.106,6.216
3993.006,9.886,10.213,6.442
3993.925,10.035,10.627,6.660
3994.846,11.570,11.247,6.318
3995.765,12.226,10.944,5.753
3996.686,10.757,11.012,5.598
3997.606,9.856,10.727,5.941
3998.528,9.796,10.221,6.764
3999.448,12.541,10.166,7.668
4000.367,9.869,10.293,7.872
4001.290,12.597,9.557,7.382
4002.210,13.375,9.500,6.765
4003.133,9.209,10.379,6.466
4004.054,7.555,9.793,6.429
4004.978,10.602,8.794,6.460
4005.899,11.548,8.492,6.137
4006.821,10.543,7.825,6.062
4007.745,10.015,9.017,7.059
4008.667,8.782,9.967,8.418
4009.591,13.512,10.069,9.412
4010.513,11.459,9.796,9.373
4011.438,9.637,9.884,8.817
4012.361,10.117,10.194,8.439
4013.284,10.933,8.704,8.873
4014.209,10.467,9.197,9.032
4015.133,8.732,9.206,8.531
4016.059,11.549,8.748,7.666
4016.983,9.817,9.151,7.191
4017.909,12.020,9.913,7.162
4018.833,14.452,10.184,7.601
4019.758,13.089,10.512,8.685
4020.685,11.555,11.004,9.714
4021.610,11.474,9.903,9.817
4022.537,10.985,8.748,9.393
4023.462,10.925,11.484,9.311
4024.390,12.691,10.455,9.424
4025.316,11.332,9.962,8.701
4026.242,9.843,10.142,7.688
4027.170,10.456,10.170,7.691
4028.097,10.038,9.901,8.102
4029.026,11.764,9.898,8.307
4029.953,10.374,10.781,7.925
4030.882,11.364,10.808,7.434
4031.809,13.750,9.847,7.196
4032.739,10.695,8.790,7.064
4033.667,8.726,8.435,6.922
4034.595,12.090,8.753,6.771
4035.525,11.317,8.988,6.900
4036.453,9.515,8.819,7.485
4037.384,9.821,8.465,7.959
4038.313,10.213,8.669,8.079
4039.244,9.010,9.766,7.965
4040.174,8.146,10.789,7.896
4041.103,9.846,10.061,8.234
4042.035,11.067,9.510,9.112
4042.965,10.140,9.754,10.137
4043.897,13.939,10.612,10.592
4044.827,14.077,11.478,10.290
4045.760,10.980,11.702,13.261
4046.691,17.338,11.588,21.077
4047.622,11.296,10.993,27.616
4048.555,11.615,10.874,24.596
4049.486,12.536,10.904,16.812
4050.420,11.464,10.147,11.787
4051.352,13.886,8.825,10.687
4052.286,12.300,9.305,9.315
4053.219,13.151,12.446,7.942
4054.151,19.582,17.438,7.885
4055.086,21.038,26.344,8.991
4056.019,31.091,38.321,8.944
4056.954,37.618,46.943,7.844
4057.887,39.262,51.628,7.062
4058.823,41.031,54.512,7.564
4059.757,43.230,54.540,8.507
4060.691,39.161,47.983,8.887
4061.627,27.049,34.594,8.661
4062.561,18.450,21.032,8.416
4063.498,13.280,13.334,8.833
4064.433,11.700,9.278,9.866
4065.370,7.588,7.684,10.704
4066.305,7.960,7.505,10.744
4067.241,9.696,7.507,10.395
4068.179,10.540,7.351,9.978
4069.115,12.646,8.856,9.470
4070.053,11.684,8.615,9.110
4070.989,8.552,9.084,9.172
4071.928,14.689,10.322,9.268
4072.865,11.934,10.931,8.654
4073.802,11.851,11.240,7.791
4074.741,12.053,12.196,7.979
4075.679,14.313,11.680,8.955
4076.618,13.101,11.018,10.062
4077.556,10.966,10.614,10.987
4078.497,9.829,9.830,11.320
4079.435,8.660,8.506,11.113
4080.373,8.422,7.496,10.557
4081.314,8.793,6.427,9.940
4082.253,6.711,6.307,9.735
4083.194,12.216,6.824,9.535
4084.134,10.181,7.684,8.880
4085.076,9.488,9.321,8.383
4086.015,11.317,9.885,8.531
4086.955,12.556,11.544,8.902
4087.898,14.288,11.806,9.010
4088.838,14.221,11.339,8.619
4089.781,12.648,11.969,7.992
4090.722,14.203,12.717,7.374
4091.665,12.736,11.480,7.410
4092.606,10.568,11.262,7.854
4093.548,10.778,11.400,7.772
4094.492,11.110,11.723,7.185
4095.434,14.685,12.000,7.017
4096.378,11.668,11.321,7.305
4097.321,10.416,11.487,7.319
4098.266,12.351,11.934,7.030
4099.208,11.779,12.208,7.114
4100.151,11.262,11.905,7.424
4101.097,10.838,10.900,7.074
4102.040,10.208,9.513,6.287
4102.986,11.619,8.183,5.965
4103.930,11.281,8.863,6.121
4104.876,11.038,9.392,6.200
4105.821,10.871,9.116,6.229
4106.768,10.650,8.875,6.346
4107.712,12.121,9.221,6.735
4108.657,11.997,10.058,7.095
4109.604,9.776,11.299,6.988
4110.550,13.206,11.782,6.822
4111.498,13.301,12.155,6.609
4112.444,14.587,13.096,6.072
4113.392,13.215,13.771,5.838
4114.338,14.916,14.392,6.214
4115.285,14.614,14.084,6.883
4116.234,14.152,14.273,7.423
4117.181,14.472,15.370,7.564
4118.130,14.876,16.170,7.238
4119.078,13.927,15.519,6.697
4120.027,12.419,15.427,6.459
4120.975,15.194,15.333,6.672
4121.923,14.006,14.415,7.124
4122.874,13.444,13.821,7.750
4123.822,11.444,13.859,8.122
4124.773,14.308,12.964,7.895
4125.722,13.846,13.276,7.670
4126.673,13.260,13.035,8.202
4127.623,12.954,12.115,8.836
4128.572,11.279,11.453,8.783
4129.524,11.244,11.275,7.976
4130.475,10.984,10.518,7.574
4131.427,9.186,9.176,7.657
4132.377,10.541,8.595,7.493
4133.330,12.077,8.765,7.434
4134.281,11.145,9.199,7.670
4135.232,8.697,9.100,8.071
4136.186,9.522,8.049,8.343
4137.137,9.193,8.139,8.413
4138.091,9.434,8.795,8.206
4139.043,12.263,10.093,8.378
4139.998,11.662,11.185,8.494
4140.950,13.521,11.654,8.187
4141.903,13.777,12.504,7.500
4142.858,12.204,13.484,6.572
4143.811,14.395,13.964,6.286
4144.767,14.687,14.775,6.662
4145.720,12.401,14.747,7.095
4146.676,14.182,13.930,7.327
4147.630,14.721,15.068,7.286
4148.584,13.311,15.928,7.131
4149.541,15.999,15.523,6.829
4150.495,15.365,15.345,6.546
4151.453,14.029,15.178,6.829
4152.407,13.234,14.421,7.496
4153.365,13.604,13.825,7.601
4154.320,14.196,13.327,7.484
4155.276,13.959,13.271,7.774
4156.234,12.940,14.452,8.374
4157.190,11.970,14.942,8.889
4158.149,12.158,13.849,8.913
4159.105,12.755,13.533,8.528
4160.065,12.603,12.909,8.238
4161.022,13.393,12.703,8.376
4161.979,12.928,13.714,8.680
4162.939,12.683,13.721,8.639
4163.896,11.851,12.419,9.223
4164.856,12.438,13.097,10.199
4165.815,12.596,11.939,10.766
4166.775,11.265,11.792,10.641
4167.734,9.899,11.528,10.304
4168.693,10.136,11.126,10.788
4169.654,11.421,10.922,10.690
4170.613,11.459,9.967,9.846
4171.575,9.937,8.962,9.309
4172.535,8.359,8.645,9.159
4173.497,7.172,8.039,9.372
4174.457,6.680,7.921,9.075
4175.417,7.521,8.598,8.565
4176.380,9.384,8.288,8.178
4177.341,9.149,7.889,8.059
4178.304,8.814,7.092,8.400
4179.265,9.137,7.508,8.857
4180.229,8.319,8.605,8.756
4181.191,9.203,9.202,8.230
4182.155,10.725,9.779,7.994
4183.117,12.753,10.921,7.628
4184.080,12.608,12.084,7.336
4185.044,10.112,12.928,7.605
4186.007,13.471,13.327,7.794
4186.972,12.875,13.652,7.343
4187.936,12.566,14.406,6.646
4188.901,12.580,14.454,6.378
4189.865,11.449,14.821,6.839
4190.829,12.717,14.571,7.605
4191.795,12.291,14.412,8.299
4192.759,14.158,14.957,7.967
4193.726,14.481,15.148,7.197
4194.691,15.022,15.942,7.426
