Wavelength,Flux,BestFit,SkyFlux
3800.143,25.771,25.562,8.175
3801.019,19.823,25.095,7.342
3801.893,13.877,25.234,6.783
3802.770,25.545,24.271,6.190
3803.645,18.591,22.261,5.787
3804.522,17.673,22.038,5.527
3805.397,19.735,24.031,5.370
3806.273,18.321,24.684,5.282
3807.150,20.730,24.361,5.278
3808.026,25.475,24.039,5.345
3808.904,23.076,23.807,5.502
3809.781,16.942,23.613,5.812
3810.659,19.398,25.154,6.062
3811.536,19.193,25.173,6.273
3812.413,19.243,26.407,6.519
3813.292,22.235,24.604,6.598
3814.169,22.627,20.952,6.720
3815.048,18.122,24.633,6.906
3815.926,14.682,22.589,7.070
3816.806,13.521,21.839,7.207
3817.684,15.839,23.414,7.356
3818.562,24.231,25.633,7.433
3819.443,23.777,26.219,7.438
3820.322,20.988,24.489,7.374
3821.202,21.484,25.368,7.243
3822.082,19.849,24.722,6.977
3822.963,21.215,24.688,6.614
3823.842,26.078,25.283,6.103
3824.724,25.593,24.719,5.476
3825.604,21.646,23.487,4.964
3826.484,22.172,25.814,4.748
3827.366,20.802,24.996,5.503
3828.247,23.060,24.495,7.144
3829.130,23.504,23.809,9.155
3830.010,25.898,23.114,10.830
3830.894,22.859,25.786,11.821
3831.775,22.268,24.124,12.043
3832.656,23.930,21.607,11.579
3833.540,22.018,24.322,10.611
3834.422,21.714,26.635,9.551
3835.306,27.277,24.151,8.891
3836.189,21.783,22.786,8.736
3837.073,21.061,23.038,8.556
3837.956,24.715,25.938,8.020
3838.839,24.226,25.111,7.385
3839.724,23.893,22.817,6.882
3840.608,20.211,23.704,6.640
3841.493,20.875,25.294,6.825
3842.377,25.606,21.544,7.526
3843.263,20.603,22.491,8.420
3844.147,20.909,23.123,8.968
3845.031,22.380,22.885,8.791
3845.918,22.953,23.502,8.097
3846.803,24.773,23.206,7.281
3847.690,23.974,22.546,6.637
3848.575,22.601,22.986,6.232
3849.463,22.812,23.602,6.195
3850.348,24.027,24.279,6.486
3851.234,24.063,24.830,6.786
3852.122,22.582,24.006,6.878
3853.008,26.265,22.017,6.697
3853.897,18.003,22.479,6.762
3854.783,29.372,23.603,6.790
3855.672,23.558,24.302,6.586
3856.559,25.040,23.750,6.137
3857.446,26.949,21.407,5.585
3858.336,25.713,21.869,4.955
3859.223,30.220,22.505,3.874
3860.114,28.219,22.038,3.734
3861.001,36.954,21.528,4.573
3861.892,19.485,22.108,5.210
3862.780,23.964,23.088,5.797
3863.669,22.603,22.801,6.054
3864.560,25.034,23.202,5.701
3865.449,26.904,22.773,5.196
3866.340,26.721,22.642,4.998
3867.230,25.895,22.922,5.230
3868.121,20.182,21.680,5.395
3869.011,18.438,24.128,4.904
3869.901,28.536,23.362,3.662
3870.794,29.165,22.900,2.505
3871.684,25.920,23.838,2.546
3872.577,23.492,24.357,2.895
3873.468,26.355,23.186,3.538
3874.361,29.549,20.517,5.003
3875.252,27.329,22.842,5.199
3876.144,23.011,24.203,5.016
3877.038,19.929,22.688,4.935
3877.930,14.265,22.178,4.689
3878.824,24.662,25.227,4.484
3879.716,20.992,23.823,4.260
3880.611,21.040,21.528,4.018
3881.504,23.033,21.786,3.908
3882.396,22.523,23.820,4.054
3883.292,19.943,24.386,4.377
3884.185,20.264,22.061,4.566
3885.081,24.375,22.077,4.461
3885.975,19.834,23.062,4.036
3886.871,21.534,23.810,3.607
3887.765,24.585,22.144,3.385
3888.659,20.681,19.942,3.471
3889.556,18.728,22.449,3.720
3890.451,23.442,23.410,3.966
3891.348,26.278,24.903,4.072
3892.243,24.255,24.177,4.048
3893.141,23.036,22.084,3.977
3894.036,22.377,21.186,3.969
